ProductID,Year,PLN,units
P001,2023,10021.32,486
P001,2024,14330.9,695
P002,2023,3480.41,347
P002,2024,3771.28,376
P003,2023,21569.99,599
P003,2024,30572.49,849
P004,2023,28897.28,1024
P004,2024,54182.4,1920
P005,2023,28151.82,333
P005,2024,34323.24,406
P006,2023,16113.8,452
P006,2024,26666.2,748
P007,2023,14198.4,928
P007,2024,14764.5,965
P008,2023,14154.84,1644
P008,2024,17418.03,2023
P009,2023,45059.7,998
P009,2024,53367.3,1182
P010,2023,19989.4,890
P010,2024,24346.64,1084
P011,2023,19950.4,740
P011,2024,18521.52,687
P012,2023,16326.24,904
P012,2024,15676.08,868
P013,2023,14080.0,1760
P013,2024,10960.0,1370
P014,2023,18363.58,326
P014,2024,19208.53,341
P015,2023,53644.5,1310
P015,2024,47788.65,1167
P016,2023,22619.52,672
P016,2024,28409.04,844
P017,2023,24434.9,521
P017,2024,28140.0,600
P018,2023,4043.2,361
P018,2024,4110.4,367
P019,2023,54158.86,434
P019,2024,46671.46,374
P020,2023,40549.08,1807
P020,2024,53721.36,2394
P021,2023,20419.51,547
P021,2024,23779.21,637
P022,2023,21348.64,428
P022,2024,17607.64,353
P023,2023,5304.0,663
P023,2024,4504.0,563
P024,2023,46965.66,469
P024,2024,52974.06,529
P025,2023,26370.51,887
P025,2024,27827.28,936
P026,2023,14656.0,1832
P026,2024,17728.0,2216
P027,2023,10217.8,470
P027,2024,13674.46,629
P028,2023,168698.84,764
P028,2024,142643.26,646
P029,2023,8936.25,375
P029,2024,10294.56,432
P030,2023,22030.4,2248
P030,2024,21981.4,2243
P031,2023,28288.37,1123
P031,2024,28892.93,1147
P032,2023,18111.8,476
P032,2024,16323.45,429
P033,2023,21032.5,1175
P033,2024,22446.6,1254
P034,2023,30476.53,1681
P034,2024,28989.87,1599
P035,2023,54535.68,789
P035,2024,72230.4,1045
P036,2023,14593.24,274
P036,2024,19067.08,358
P037,2023,81564.12,2874
P037,2024,53865.24,1898
P038,2023,35638.02,1317
P038,2024,42781.86,1581
P039,2023,48542.06,1526
P039,2024,47683.19,1499
P040,2023,19848.76,964
P040,2024,15854.3,770
P041,2023,15842.4,560
P041,2024,19548.39,691
P042,2023,23306.04,738
P042,2024,39506.58,1251
P043,2023,123294.12,1429
P043,2024,136063.56,1577
P044,2023,10299.96,867
P044,2024,13281.84,1118
P045,2023,28441.17,493
P045,2024,23076.0,400
P046,2023,85548.64,856
P046,2024,85248.82,853
P047,2023,35721.17,2383
P047,2024,38164.54,2546
P048,2023,33884.18,1034
P048,2024,19465.38,594
P049,2023,34567.72,1004
P049,2024,32708.5,950
P050,2023,10398.88,412
P050,2024,8934.96,354
P051,2023,7207.42,362
P051,2024,8063.55,405
P052,2023,8809.38,654
P052,2024,8203.23,609
P053,2023,5056.0,632
P053,2024,4872.0,609
P054,2023,33011.52,753
P054,2024,33976.0,775
P055,2023,6488.0,811
P055,2024,7000.0,875
P056,2023,114658.65,2745
